year,industry1,industry2,industry3,employment_change
2005,manufacturing,electronic products,electronic products,2.7
2005,manufacturing,medical and precision instruments,medical and precision instruments,0.5
2005,manufacturing,transport equipment,transport equipment,14.2
2005,manufacturing,other manufacturing industries,other manufacturing industries,0.7
2005,services,wholesale and retail trade,wholesale trade,7.6
2005,services,wholesale and retail trade,retail trade,5.1
2005,services,transport and storage,land transport and supporting services,1.4
2005,services,transport and storage,water transport and supporting services,2.6
2005,services,transport and storage,air transport and supporting services,-0.6
2005,services,transport and storage,other transport and storage services,3
2005,services,hotels and restaurants,hotels,0.7
2005,services,hotels and restaurants,restaurants,5
2005,services,information and communications,broadcasting and publishing,0.2
2005,services,information and communications,telecommunications,-0.5
2005,services,information and communications,it and other information services,3.9
2005,services,financial services,financial institutions,6.1
2005,services,financial services,insurance,1.6
2005,services,real estate and leasing services,real estate and leasing services,2.5
2005,services,professional services,"legal, accounting and management services",3.5
2005,services,professional services,architectural and engineering services,2
2005,services,professional services,other professional services,2.2
2005,services,"community, social and personal services",education and public administration,4.1
2005,services,"community, social and personal services",health and social services,1.4
2005,services,"community, social and personal services","other community, social and personal services",11.9
2006,others,others,others,1.1
2006,construction,construction,construction,20.5
2006,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",2.3
2006,manufacturing,paper products and printing,paper products and printing,0.7
2006,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.5
2006,manufacturing,rubber and plastic products,rubber and plastic products,0.1
2006,manufacturing,fabricated metal products,fabricated metal products,2
2006,manufacturing,machinery and equipment,machinery and equipment,6.3
2006,manufacturing,electrical products,electrical products,0.8
2006,manufacturing,electronic products,electronic products,3.3
2006,manufacturing,medical and precision instruments,medical and precision instruments,-1.2
2006,manufacturing,transport equipment,transport equipment,21.8
2006,manufacturing,other manufacturing industries,other manufacturing industries,2.1
2006,services,wholesale and retail trade,wholesale trade,15.3
2006,services,wholesale and retail trade,retail trade,3.3
2006,services,transport and storage,land transport and supporting services,1.6
2006,services,transport and storage,water transport and supporting services,1.5
2006,services,transport and storage,air transport and supporting services,1
2006,services,transport and storage,other transport and storage services,1.9
2006,services,hotels and restaurants,hotels,0.5
2006,services,hotels and restaurants,restaurants,12.1
2006,services,information and communications,broadcasting and publishing,0.5
2006,services,information and communications,telecommunications,0.2
2006,services,information and communications,it and other information services,5.8
2006,services,financial services,financial institutions,9.7
2006,services,financial services,insurance,1.6
2006,services,real estate and leasing services,real estate and leasing services,4.5
2006,services,professional services,"legal, accounting and management services",5.8
2006,services,professional services,architectural and engineering services,4.8
2006,services,professional services,other professional services,3.3
2006,services,"community, social and personal services",education and public administration,6.1
2006,services,"community, social and personal services",health and social services,3
2006,services,"community, social and personal services","other community, social and personal services",14.6
2007,others,others,others,2.1
2007,construction,construction,construction,40.4
2007,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",3.2
2007,manufacturing,paper products and printing,paper products and printing,0.1
2007,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",5.6
2007,manufacturing,rubber and plastic products,rubber and plastic products,0.5
2007,manufacturing,fabricated metal products,fabricated metal products,1.9
2007,manufacturing,machinery and equipment,machinery and equipment,4.5
2007,manufacturing,electrical products,electrical products,0.3
2007,manufacturing,electronic products,electronic products,-0.6
2007,manufacturing,medical and precision instruments,medical and precision instruments,0.4
2007,manufacturing,transport equipment,transport equipment,30.1
2007,manufacturing,other manufacturing industries,other manufacturing industries,3.4
2007,services,wholesale and retail trade,wholesale trade,18.2
2007,services,wholesale and retail trade,retail trade,1.7
2007,services,transport and storage,land transport and supporting services,3
